scenario,topology,layer,class,fault_family,nika_label,nika_category,in_taxonomy,note
kath1-csw1-r1-link-down,Kath1,base,base,core link cut,link_down,LINK_FAILURE,true,
kath1-csw1-uplink-passive,Kath1,base,base,OSPF passive-interface misconfig,ospf_neighbor_missing,MISCONFIGURATION,true,partial: passive-interface suppresses OSPF hellos -> neighbor never forms
kath1-dswa1-vlan10-svi-down,Kath1,base,base,SVI down,none,NOVEL,false,VLAN SVI (L3 switch interface) down; NIKA switching is SDN/P4 only
kath1-ispa-ospfd-down,Kath1,base,base,ISP OSPF advertise default down,frr_service_down,NETWORK_NODE_ERROR,true,
kath1-keepalived-master-down,Kath1,base,base,VRRP daemon down (master),none,NOVEL,false,VRRP/first-hop-redundancy daemon down; not in NIKA
kath1-pc3-wrong-gateway,Kath1,base,base,host misconfig (wrong default gateway),host_incorrect_gateway,END_HOST_FAILURE,true,
kath1-r1-default-route-removed,Kath1,base,base,default route missing,none,NOVEL,false,router default-route removal; NIKA route faults are BGP/host-static only
kath1-r1-dhcpd-down,Kath1,base,base,service down (DHCP server),dhcp_service_down,END_HOST_FAILURE,true,
kath1-r1-nat-flushed,Kath1,base,base,NAT misconfig,none,NOVEL,false,NAT rule flush; no NAT fault in NIKA
kath1-r1-ospfd-down,Kath1,base,base,routing daemon down,frr_service_down,NETWORK_NODE_ERROR,true,
kath1-csw1-r1-link-down-misdescribed,Kath1,cex,wrong-cause,core link cut (misdescribed cause),link_down,LINK_FAILURE,true,fault maps; prompt misdescribes the cause as an OSPF config change (robustness perturbation dimension)
kath1-csw1-uplink-passive-misdescribed,Kath1,cex,wrong-cause,OSPF passive-interface misconfig (misdescribed cause),ospf_neighbor_missing,MISCONFIGURATION,true,partial: passive-interface suppresses OSPF hellos; prompt misdescribes the cause as a physical link-down (robustness perturbation dimension)
kath1-dswa1-vlan10-svi-down-misdirected,Kath1,cex,wrong-device,SVI down (misdirected prompt),none,NOVEL,false,VLAN SVI (L3 switch interface) down; prompt is misdirected at aswa2 (robustness perturbation dimension)
kath1-false-premise-dns-down,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise DNS-down ticket; campus DNS server SRV1 10.5.0.4 is genuinely reachable and resolving)
kath1-false-premise-gateway-flapping,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise VRRP-flap ticket)
kath1-false-premise-internet-down,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise Internet-outage ticket)
kath1-false-premise-internet-slow,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise slow/intermittent-Internet ticket; Office A egress + R1 NAT are genuinely healthy and lossless)
kath1-false-premise-interoffice-down,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,"robustness negative-control: no fault injected (false-premise inter-office server-reachability ticket; A->B server segment 10.5.0.0/24 is genuinely open, distinct from the intended A->B-PC security ACL)"
kath1-false-premise-intra-office-down,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise intra-office neighbor-unreachable ticket; PC1<->PC2 same-VLAN L2 path is genuinely healthy)
kath1-false-premise-officeb-isolated,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise Office-B-isolated ticket; PC3->gateway and PC3->SRV1 cross-core paths are genuinely healthy)
kath1-false-premise-ospf-flapping,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise OSPF-flapping ticket; core adjacencies are genuinely Full and stable)
kath1-false-premise-wifi-down,Kath1,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise WiFi-lost-network ticket; LAPTOP1->gateway and keepalived/VRRP WLAN gateway are genuinely healthy)
kath1-r1-dhcpd-down-misdescribed,Kath1,cex,wrong-cause,"service down (DHCP server, misdescribed cause)",dhcp_service_down,END_HOST_FAILURE,true,fault maps; prompt misdescribes the cause as a broken DSW relay (robustness perturbation dimension)
kath1-r1-nat-flushed-misdirected,Kath1,cex,wrong-device,NAT misconfig (misdirected prompt),none,NOVEL,false,NAT rule flush; prompt is misdirected at ISPA (robustness perturbation dimension)
kath1-r1-ospfd-down-misdirected,Kath1,cex,wrong-device,routing daemon down (misdirected prompt),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt is misdirected at CSW1 (robustness perturbation dimension)
kath2-pc1-wrong-netmask,Kath2,base,base,host misconfig (wrong subnet mask),host_incorrect_netmask,END_HOST_FAILURE,true,
kath2-rip-version-mismatch,Kath2,base,base,RIP version mismatch,none,NOVEL,false,"RIP v1/v2 mismatch; NIKA covers OSPF/BGP, not RIP"
kath2-router0-ripd-down,Kath2,base,base,routing daemon down,frr_service_down,NETWORK_NODE_ERROR,true,ripd is an FRR daemon
