arm,pass,topology,scenario_id,agent,model,status,submitted,is_anomaly,outcome_score,fix_score,reasoning_score,tool_calls,in_tokens,cache_read_tokens,cache_write_tokens,out_tokens,cost_usd,wall_seconds
base80,p1,dc_clos_bgp,dc-clos-leaf0-acl-drops-transit,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,10,8,39626,13857,4850,0.137599,223.2
base80,p1,dc_clos_bgp,dc-clos-leaf0-acl-drops-transit,react-full,gpt-5,scored,True,True,1.0,1.0,1.0,10,7788,7168,0,4111,0.051741,273.8
base80,p1,dc_clos_bgp,dc-clos-leaf0-acl-drops-transit,sade,claude-sonnet-4-6,scored,True,True,0.825,1.0,0.9666666666666667,9,18,103887,17523,5019,0.173169,265.1
base80,p1,dc_clos_bgp,dc-clos-leaf0-bgpd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,0.7,1.0,0.9333333333333332,17,12,120495,22709,6995,0.227237,261.3
base80,p1,dc_clos_bgp,dc-clos-leaf0-bgpd-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.9666666666666667,9,3166,4352,0,3256,0.037061,214.9
base80,p1,dc_clos_bgp,dc-clos-leaf0-bgpd-down,sade,claude-sonnet-4-6,scored,True,True,0.7,1.0,1.0,12,19,119145,18169,4669,0.174938,234.4
base80,p1,dc_clos_bgp,dc-clos-leaf0-network-missing,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,6,9,52076,11516,2843,0.102454,205.4
base80,p1,dc_clos_bgp,dc-clos-leaf0-network-missing,react-full,gpt-5,scored,True,True,1.0,1.0,0.8666666666666667,14,7131,13952,0,5690,0.067558,278.3
base80,p1,dc_clos_bgp,dc-clos-leaf0-network-missing,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,14,25,152227,17874,4131,0.17571,247.7
base80,p1,dc_clos_bgp,dc-clos-leaf0-spine1-link-down,cc-baseline,claude-sonnet-4-6,scored,True,True,0.7,1.0,0.9,12,9,59756,22102,8814,0.234012,319.4
base80,p1,dc_clos_bgp,dc-clos-leaf0-spine1-link-down,react-full,gpt-5,scored,True,True,0.7,1.0,0.8666666666666667,11,11732,11136,0,6578,0.081837,304.6
base80,p1,dc_clos_bgp,dc-clos-leaf0-spine1-link-down,sade,claude-sonnet-4-6,scored,True,True,0.7,1.0,0.9333333333333332,22,29,310004,30148,10914,0.370819,341.3
base80,p1,dc_clos_bgp,dc-clos-leaf1-both-uplinks-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,9,9,53724,14705,3730,0.128205,214.5
base80,p1,dc_clos_bgp,dc-clos-leaf1-both-uplinks-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.9,16,10307,24192,0,5985,0.075758,290.3
base80,p1,dc_clos_bgp,dc-clos-leaf1-both-uplinks-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,28,28,301072,33161,13678,0.420896,414.4
base80,p1,dc_clos_bgp,dc-clos-leaf1-neighbors-removed,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8333333333333334,9,8,38352,12829,3006,0.10569,194.6
base80,p1,dc_clos_bgp,dc-clos-leaf1-neighbors-removed,react-full,gpt-5,scored,True,True,1.0,1.0,0.8666666666666667,16,9911,4352,0,3419,0.047123,191.0
base80,p1,dc_clos_bgp,dc-clos-leaf1-neighbors-removed,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8333333333333334,13,22,135469,18207,5656,0.194785,267.6
